director,mean_gross,mean_budget,number_of_movies
Dave Grohl,422417,NaN,1
Dave Kim,NaN,NaN,1
Dave McKean,864959,4e+06,1
Dave Meyers,16366370,1e+07,1
Dave Parker,NaN,NaN,1
Dave Snyder,NaN,30000,1
David Anspaugh,375474,15500000,2
David Arquette,20840,NaN,2
David Atkins,2025238,6e+06,2
David Au,NaN,NaN,1
David Ayer,40901433.5,32500000,4
David Barrett,NaN,10400000,1
David Bokser,NaN,1000,2
David Bowers,40413962.6666667,3.6e+07,3
"David Bowers,Sam Fell",64459316,1.49e+08,1
David Brooks,2034,3e+06,2
"David Bruckner,Dan Bush",597420,50000,1
David Carson,NaN,2e+07,1
David Chase,607327,2e+07,1
"David Clark,Bayley Silleck",NaN,NaN,1
David Cronenberg,16318770.6666667,23500000,3
David DeCoteau,1529,1e+06,1
David Dobkin,91340041.25,47333333.3333333,4
David Douglas,10659604,NaN,1
David Duchovny,371081,6e+06,2
David E. Talbert,37931869,NaN,1
David Fincher,103836101.333333,75666666.6666667,6
David France,122665,NaN,1
David Frankel,116612985.666667,5e+07,3
David G. Evans,2428241,2e+05,2
David Gelb,25799043,3300000,1
David Gordon Green,17644695.25,17480000,8
David Gregory,NaN,1e+06,1
David Grovic,48817,NaN,1
David Guy Levy,NaN,NaN,1
David Hackl,NaN,1e+07,1
David Harrison,NaN,12000,1
"David Hillenbrand,Scott Hillenbrand",NaN,NaN,1
David Hollander,NaN,NaN,1
David Jacobson,NaN,NaN,2
David Kendall,145450,NaN,1
David Kittredge,NaN,NaN,2
David Koepp,27090288,31666666.6666667,3
David L. Cunningham,8791738,29500000,2
David LaChapelle,3278611,NaN,1
"David Leaf,John Scheinfeld",1102937,NaN,1
David Lebrun,NaN,1e+06,1
David Lee Miller,NaN,2e+06,2
David Lickley,24833997,NaN,2
David Lynch,7219578,1.5e+07,2
David M. Evans,1158779,5e+06,3
David M. Rosenthal,NaN,3e+06,1
