director,mean_gross,mean_budget,number_of_movies
"Stig Bergqvist,Paul Demeyer",76501438,3e+07,1
Stig Svendsen,NaN,2e+05,1
Stuart Acher,NaN,NaN,1
Stuart Baird,43119879,6e+07,1
Stuart Beattie,19059018,6.5e+07,1
Stuart Blumberg,1059239,NaN,1
Stuart Gillard,NaN,NaN,1
Stuart Gordon,99384.5,7500000,2
Stuart Townsend,223537,8e+06,1
Sue Kramer,59619,NaN,1
Sunu Gonera,1373400,NaN,1
Suny Behar,NaN,50000,1
Susan Froemke,NaN,NaN,1
"Susan Froemke,Matthew Heineman",97316,NaN,1
"Susan Koch,Jeff Werner",NaN,NaN,1
Susan Stroman,19377727,4.5e+07,1
Susanna Fogel,7563,NaN,1
Susannah Grant,15269668,NaN,2
Susanne Bier,1512723.5,2.3e+07,2
Sydney Pollack,72515360,8e+07,1
Sylvain White,42442088,19500000,3
Sylvester Stallone,71991714.6666667,51333333.3333333,3
T.C. Christensen,NaN,NaN,1
Taggart Siegel,12376,NaN,2
Takashi Shimizu,74659855,1.5e+07,2
Talia Lugacy,13361,NaN,1
Tamara Jenkins,6610326,NaN,1
Tammi Sutton,NaN,NaN,1
Tamra Davis,256242,NaN,1
Tannaz Hazemi,NaN,NaN,1
Tanya Hamilton,75795,NaN,1
Tarsem Singh,52999535.5,64333333.3333333,4
Tate Taylor,123308371.333333,26666666.6666667,3
Tatia Pilieva,NaN,NaN,1
Taylor Hackford,16781272.3333333,41666666.6666667,3
Taylor Sheridan,NaN,NaN,1
Ted Braun,107841,NaN,1
Ted Chung,NaN,NaN,1
Ted Demme,52937130,3e+07,1
Ted Koland,1842,1500000,1
Ted Nicolaou,NaN,NaN,1
Tennyson Bardwell,38846,185000,2
Terence Nance,65975,NaN,1
Terrence Malick,8867235,3.1e+07,3
Terry Cunningham,NaN,NaN,1
Terry George,101440,1.1e+07,1
Terry Gilliam,19059538,48250000,2
Terry Kinney,21291,NaN,1
Terry M. West,NaN,NaN,1
Terry Zwigoff,31677277.5,1.8e+07,2
Thad T. Smith,NaN,720000,1
Thom Fitzgerald,NaN,2917341.97730956,2
Thomas Bezucha,9914952.66666667,18500000,3
Thomas Carter,62806443.6666667,19333333.3333333,3
Thomas Gomez Durham,NaN,750000,1
Thomas Jane,NaN,4e+06,1
Thomas S. Hammock,NaN,NaN,1
Thomas Vinterberg,NaN,NaN,1
Thomas Whelan,NaN,2e+06,1
Thor Freudenthal,68527744.6666667,46666666.6666667,3
Ti West,62399.6666666667,5130000,5
Tibor Takács,NaN,7e+06,1
Tim Allen,64438,NaN,1
Tim Blake Nelson,5530951.66666667,6333333.33333333,3
Tim Burton,113572793.222222,85444444.4444444,9
"Tim Burton,Mike Johnson",53337608,4e+07,1
Tim Chambers,1889522,7e+06,1
Tim Disney,552933,NaN,2
Tim Fywell,24381334,NaN,1
Tim Garrick,NaN,3e+06,1
Tim Hamilton,NaN,1.5e+07,2
"Tim Hetherington,Sebastian Junger",1330894,NaN,1
Tim Hill,87680975.6666667,3.6e+07,3
Tim Hunter,NaN,6800000,1
Tim Iacofano,NaN,NaN,1
"Tim Johnson,Karey Kirkpatrick",155019340,8e+07,1
Tim King,NaN,NaN,2
Tim Kirkman,NaN,5e+05,1
Tim Maltby,NaN,NaN,1
Tim Matheson,NaN,NaN,2
Tim McCanlies,41407470,3e+07,2
Tim McCann,NaN,3200000,1
Tim Story,93193257.6666667,54833333.3333333,6
Tim Sullivan,NaN,3e+06,1
Tim Wheeler,NaN,NaN,1
Timothy Armstrong,119782,NaN,1
Timothy Hines,14616,1.2e+07,1
Timothy Lanzone,NaN,NaN,1
Timothy Linh Bui,NaN,NaN,3
Timur Bekmambetov,86042429,7.2e+07,2
"Tina Mascara,Guido Santi",212814,NaN,2
Tobe Hooper,NaN,2800000,1
Toby Wilkins,NaN,NaN,2
Tod Harrison Williams,NaN,NaN,1
Tod Williams,3835551,NaN,1
Todd Berger,38100,NaN,1
Todd Field,25765560.6666667,9800000,3
Todd Graff,12584554.6666667,22500000,3
Todd Haynes,9928054.5,16750000,2
Todd Holland,13922019,NaN,1
Todd Kessler,NaN,NaN,1
Todd Komarnicki,NaN,NaN,1
Todd Lincoln,4930798,1.7e+07,2
Todd Louiso,147769,1e+06,2
Todd Phillips,121554572.555556,51955555.5555556,9
Todd Solondz,600150,2e+06,7
Todd Stephens,379076,5e+05,2
Todd Strauss-Schulson,35033759,1.9e+07,1
Todd Verow,NaN,NaN,1
Todd Wade,NaN,46000,1
Todor Chapkanov,NaN,NaN,1
Tom Brady,19812422.8,1e+07,5
Tom Dey,53416799.3333333,61666666.6666667,3
Tom DiCillo,162304,5e+06,2
"Tom Dolby,Tom Williams",6120,NaN,1
Tom Donahue,7900,NaN,1
Tom Ford,9166863,7e+06,1
Tom Gibbons,NaN,NaN,1
Tom Gormican,26049082,8e+06,1
Tom Gustafson,103111,NaN,1
Tom Hanks,35565975,3e+07,1
Tom Hooper,148775460,6.1e+07,2
Tom Kalin,434417,4600000,2
"Tom Kuntz,Mike Maguire",NaN,NaN,1
Tom McCarthy,8194740,5e+05,3
Tom McGrath,148337537,1.3e+08,2
Tom Owens,NaN,NaN,1
Tom Putnam,27696,9e+06,1
Tom Quinn,NaN,NaN,1
Tom Seidman,NaN,250000,1
Tom Shadyac,171439635,1.28e+08,2
Tom Shepard,NaN,NaN,1
"Tom Tykwer,Lana Wachowski",27098580,1.02e+08,1
Tom Vaughan,46065803,3.3e+07,4
"Tomm Coker,David Elliot",NaN,NaN,1
Tommy Lee Jones,4158477.66666667,15333333.3333333,3
Tommy Lee Wallace,NaN,NaN,1
Tommy O'Haver,17236968,19666666.6666667,3
Tommy Pallotta,NaN,NaN,1
Tommy Wirkola,55682070,5e+07,1
Tommy Wiseau,NaN,6e+06,1
Tony Bill,13082288,6e+07,1
"Tony Craig,Roberts Gannaway",NaN,NaN,1
Tony Gilroy,67583511.3333333,7e+07,3
Tony Goldwyn,13125108.5,1.7e+07,4
"Tony Kaplan,Erica Milsom",NaN,NaN,1
Tony Kaye,47492,NaN,2
Tony Krantz,NaN,1.7e+07,3
Tony McNamara,4631,NaN,1
Tony Scott,51872301.4285714,80285714.2857143,7
Tony Spiridakis,NaN,NaN,2
Travis Fine,200002,NaN,1
Travis Fort,NaN,250000,1
Travis Mathews,NaN,NaN,2
Trent Cooper,15655665,4e+06,2
Trevor White,NaN,2e+06,1
Trey Nelson,NaN,NaN,1
Trey Parker,32774834,3e+07,1
Trey Stokes,NaN,NaN,1
Tripp Reed,NaN,NaN,3
Trish Sie,14897580,4.5e+07,1
Tristan Patterson,NaN,3e+06,1
Tristram Shapeero,NaN,NaN,1
Troy Byer,21897389,NaN,1
Troy Duffy,10269307,8e+06,1
Troy Miller,26096584,1.9e+07,1
Troy Quane,NaN,NaN,1
Tuck Tucker,13684949,3e+06,1
Turk Pipkin,9508,NaN,1
Tyler Glodt,NaN,NaN,1
"Tyler Measom,Justin Weinstein",124031,NaN,1
Tyler Oliver,NaN,1300000,1
Tyler Perry,49178923.0769231,14625000,13
Tyler Shields,NaN,8e+06,1
Tze Chun,8992,NaN,1
Udayan Prasad,317040,15500000,1
Uli Edel,13555988,2.2e+07,1
Uwe Boll,6920319.4,22833526.2792313,8
Vadim Perelman,6654462,11500000,2
Vera Farmiga,841206,NaN,1
Vic Armstrong,13998282,1.6e+07,1
Vicky Jenson,6373693,1.5e+07,1
"Victor Cook,Mike Disa",NaN,NaN,1
"Victor Cook,Rob LaDuca",NaN,NaN,1
"Victor Cook,Toby Shelton",NaN,NaN,1
Víctor García,NaN,2675000,4
Victor Levin,116400,NaN,1
Victor Salva,1055654,1e+07,4
Vikram Gandhi,131417,NaN,1
Vince Di Meglio,NaN,8e+06,2
Vince Vieluf,NaN,1e+06,1
Vincent Gallo,365734,1e+07,1
Vincent Scordia,NaN,4e+05,1
Vincenzo Natali,16999046,2.6e+07,2
Vivi Friedman,3658,NaN,1
Vlad Yudin,849521,5e+06,2
Vondie Curtis-Hall,12795783,2.2e+07,2
Wallace Wolodarsky,10198766,1.2e+07,1
Wally Pfister,23014504,1e+08,1
Walt Becker,79564320.3333333,20500000,4
Walter Hill,10455423.3333333,43333333.3333333,3
"Walter P. Martishius,William Lau",NaN,NaN,1
Walter Salles,17221229,28333333.3333333,3
Wayne Beach,1181197,15500000,1
Wayne Kramer,5184388.66666667,13066666.6666667,3
Wayne Wang,23735030.4285714,3.8e+07,8
Wendy Jo Carlton,NaN,2e+05,2
Werner Herzog,2303322.4,8500000,7
Wes Anderson,35639445.1666667,28250000,6
Wes Ball,102413606,3.4e+07,1
Wes Craven,43821292.8,33200000,5
"Wesley Chan,Ted Fu",NaN,NaN,1
Whit Stillman,1007535,NaN,2
Wil Shriner,8080116,1.5e+07,1
Will Canon,NaN,3e+06,2
"Will Finn,Daniel St. Pierre",8460990,7e+07,1
"Will Finn,John Sanford",50026353,1.1e+08,1
Will Geiger,NaN,NaN,1
Will Gluck,60651606.6,38600000,5
"Will Meugniot,Dick Sebast",NaN,NaN,1
"William Arntz,Betsy Chasse",10941801,NaN,1
William Bindley,508867,NaN,2
William Brent Bell,38161674.5,5e+06,2
William Dear,1089445,12500000,3
William Eubank,NaN,4e+06,1
William Friedkin,21308740.2,28200000,5
William Gazecki,NaN,250000,1
William H. Macy,37440,5e+06,1
William H. Nutsack,NaN,NaN,1
William Kaufman,NaN,6e+06,4
William Lau,NaN,NaN,2
William Malone,13208023,4.2e+07,2
William Olsson,NaN,NaN,1
Willy Appleman,NaN,11000,1
Wim Wenders,NaN,NaN,2
Wolfgang Petersen,96941925.5,167500000,2
Woody Allen,16182146.4705882,17164285.7142857,17
Wych Kaosayananda,14294842,7e+07,1
Xan Cassavetes,14325,NaN,1
Xavier Gens,13243842.6666667,1e+07,3
"Y. David Chung,Matt Dibble",NaN,150000,1
Yam Laranas,NaN,5e+06,1
Yann Samuell,NaN,NaN,1
Yaron Zilberman,1561577,NaN,1
"Yasuhiro Aoki,Yûichirô Hayashi",NaN,3500000,1
Yen Tan,48498,NaN,2
Yossi Wein,NaN,NaN,1
Yûgô Sakô,NaN,NaN,1
Zach Braff,15185077.5,4250000,2
"Zach Cregger,Trevor Moore",4542775,6e+06,1
Zach Helm,32059442,6.5e+07,1
Zach Lipovsky,NaN,NaN,2
Zachary Heinzerling,199274,NaN,2
"Zack Finfrock,Julian Higgins",NaN,NaN,1
Zack Snyder,140234504,116400000,5
Zak Penn,114669,5400000,3
Zak Tucker,61408,NaN,2
"Zana Briski,Ross Kauffman",3410863,NaN,2
Zatella Beatty,NaN,NaN,1
Zev Berman,NaN,NaN,1
Zhao Liu,NaN,3500,1
Zoe Clarke-Williams,28658,NaN,1
Zoe R. Cassavetes,955625,2e+06,1
NA,24937512.7080745,11538017.3955079,1695
