name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp,rating,general_rating_user,contentRatingLevel,year,profit_ratio
Chinese Coffee ,"7.3 based on 2,847 user ratings",2000-09-02,NA,NA,NA,14,7,NA,"writer,friendship,doorman,jealousy,reference-to-william-shakespeare",Drama,Rated R for language,USA,English,NA,NA,NA,99,Color,1.85:1,7.3,2847,R,2000,NA
Things You Can Tell Just by Looking at Her ,"6.6 based on 5,792 user ratings",2000-10-04,Rodrigo García,"Glenn Close,Cameron Diaz,Calista Flockhart",NA,64,30,NA,"boxer-shorts,lesbian,dwarf,dating,pregnancy","Drama,Romance","Rated PG-13 for mature thematic elements, sexual content and language",USA,English,NA,NA,NA,109,Color,1.85:1,6.6,5792,PG-13,2000,NA
The Legend of Bagger Vance ,"6.7 based on 45,226 user ratings",2000-11-03,Robert Redford,"Will Smith,Matt Damon,Charlize Theron",47,267,125,4,"golf,golfer,game,caddy,golf-course","Drama,Fantasy,Sport",Rated PG-13 for some sexual content,USA,English,6e+07,11516712(USA),30695227,126,Color,1.85:1,6.7,45226,PG-13,2000,0.511587116666667
Space Cowboys ,"6.4 based on 60,078 user ratings",2000-08-04,Clint Eastwood,"Clint Eastwood,Tommy Lee Jones,Donald Sutherland",73,326,169,2,"nasa,space-shuttle,old-age,satellite,space","Action,Adventure,Thriller",Rated PG-13 for some language,USA,English,6.5e+07,18093776(USA),90454043,130,Black and White,2.35:1,6.4,60078,PG-13,2000,1.39160066153846
Miss Congeniality ,"6.2 based on 137,000 user ratings",2000-12-22,Donald Petrie,"Sandra Bullock,Michael Caine,Benjamin Bratt",43,370,140,1,"pageant,undercover,fbi,beauty-pageant,female-agent","Action,Comedy,Crime,Romance",Rated PG-13 for sexual references and a scene of violence,USA,"English,Russian,French,Hawaiian,Spanish",4.5e+07,13853686(USA),106807667,109,Color,1.85:1,6.2,137000,PG-13,2000,2.37350371111111
Dinosaur ,"6.5 based on 38,362 user ratings",2000-05-19,NA,NA,56,241,145,3,"lemur,egg,meteor,iguanodon,nesting-grounds","Animation,Adventure,Family,Thriller",Rated PG for intense images,USA,English,127500000,38854851(USA),137748063,82,Color,1.85:1,6.5,38362,PG,2000,1.08037696470588
The 6th Day ,"5.9 based on 99,857 user ratings",2000-11-17,Roger Spottiswoode,"Arnold Schwarzenegger,Michael Rapaport,Tony Goldwyn",49,289,170,NA,"cloning,clone,future,laser-gun,murder","Action,Mystery,Sci-Fi,Thriller","Rated PG-13 for strong action violence, brief strong language and some sensuality",USA,English,8.2e+07,13020883(USA),34543701,123,Color,2.35:1,5.9,99857,PG-13,2000,0.421264646341463
Keeping the Faith ,"6.4 based on 44,784 user ratings",2000-04-14,NA,NA,60,260,148,NA,"priest,rabbi,jewish,synagogue,celibacy","Comedy,Drama,Romance",Rated PG-13 for some sexuality and language,USA,"English,Hebrew,Spanish",3e+07,8078671(USA),37036404,128,Color,1.85:1,6.4,44784,PG-13,2000,1.2345468
Dinner Rush ,"7.3 based on 4,353 user ratings",2002-03-29,Bob Giraldi,"Danny Aiello,Edoardo Ballerini,John Rothman",79,73,39,NA,"food,restaurant,police,gangster,detective","Crime,Drama,Romance","Rated R for language, some violence and sexuality",USA,"English,Italian,French",NA,110000(USA),110000,99,Color,1.85:1,7.3,4353,R,2002,NA
The Kid ,"6.1 based on 34,435 user ratings",2000-07-07,Jon Turteltaub,"Bruce Willis,Spencer Breslin,Emily Mortimer",45,138,86,NA,"image-consultant,childhood,one-two-combo,altering-history,cartoon-on-tv","Comedy,Family,Fantasy",Rated PG for boxing action and mild thematic elements,USA,English,6e+07,12687726(USA),69688384,104,Color,1.85:1,6.1,34435,PG,2000,1.16147306666667
"Girl, Interrupted ","7.3 based on 125,101 user ratings",2000-01-14,James Mangold,"Winona Ryder,Angelina Jolie Pitt,Clea DuVall",51,385,133,764,"father-daughter-incest,mental-hospital,1960s,suicide,suicide-attempt","Biography,Drama","Rated R for strong language and content relating to drugs, sexuality and suicide","USA,Germany",English,2.4e+07,95399(USA),28871190,127,Color,1.85:1,7.3,125101,R,2000,1.20296625
Naked States ,6.3 based on 455 user ratings,2001-09-20,NA,NA,NA,8,9,NA,"art,performance-art,photographer,arts-magazine,griffith-observatory",Documentary,Rated R for nudity and language,USA,English,NA,NA,NA,80,Color,NA,6.3,455,R,2001,NA
Charlie's Angels ,"5.5 based on 145,162 user ratings",2000-11-03,McG,"Cameron Diaz,Drew Barrymore,Lucy Liu",52,643,181,1,"martial-arts,first-part,box-office-hit,booty-shake,duct-tape-over-mouth","Action,Adventure,Comedy,Crime,Thriller","Rated PG-13 for action violence, innuendo and some sensuality/nudity","USA,Germany","English,German,Finnish,Japanese,Cantonese",9.2e+07,40128550(USA),125305545,98,Color,2.35:1,5.5,145162,PG-13,2000,1.36201679347826
Rules of Engagement ,"6.4 based on 37,564 user ratings",2000-04-07,William Friedkin,"Tommy Lee Jones,Samuel L. Jackson,Guy Pearce",45,269,61,NA,"colonel,marine,embassy,combat,trial","Drama,Thriller,War","Rated R for scenes of war violence, and for language","UK,Germany,Canada,USA","English,Arabic",6e+07,15011181(USA),61322858,128,Color,2.35:1,6.4,37564,R,2000,1.02204763333333
What Lies Beneath ,"6.6 based on 98,284 user ratings",2000-07-21,Robert Zemeckis,"Harrison Ford,Michelle Pfeiffer,Katharine Towne",51,683,185,3,"haunted-house,research,secret,vermont,ghost","Drama,Fantasy,Horror,Mystery,Thriller","Rated PG-13 for terror/violence, sensuality and brief language",USA,English,1e+08,29702959(USA),155370362,130,Color,2.35:1,6.6,98284,PG-13,2000,1.55370362
The Whole Nine Yards ,"6.7 based on 90,242 user ratings",2000-02-18,NA,NA,47,318,129,2,"hitman,black-humor,adultery,dentist,sex-in-bed","Comedy,Crime",NA,USA,"English,French,Spanish",2.4e+07,15915676(USA),57262492,98,Color,1.85:1,6.7,90242,NA,2000,2.38593716666667
Hamlet ,"6.0 based on 8,044 user ratings",2000-06-23,NA,NA,70,167,86,NA,"murder,city,ghost,revenge,corporation","Drama,Romance,Thriller",Rated R for some violence,USA,English,2e+06,62253(USA),1568749,112,Black and White,1.85:1,6,8044,R,2000,0.7843745
The Little Mermaid 2: Return to the Sea ,"5.6 based on 11,742 user ratings",2000-09-19,NA,NA,NA,76,23,NA,"surrealism,shark,magic,mermaid,ocean","Animation,Drama,Family,Fantasy,Musical",NA,"USA,Canada,Australia",English,NA,NA,NA,75,Color,1.66:1,5.6,11742,NA,2000,NA
Timecode ,"6.2 based on 5,879 user ratings",2000-04-28,Mike Figgis,"Jeanne Tripplehorn,Stellan Skarsgård,Salma Hayek",65,145,57,NA,"lesbian,audition,jealousy,real-time,one-word-title",Drama,"Rated R for drug use, sexuality, language and a scene of violence",USA,English,4e+06,93148(USA),945041,97,Color,1.85:1,6.2,5879,R,2000,0.23626025
The World of Stainboy ,"7.3 based on 1,951 user ratings",2000-09-26,NA,NA,NA,8,1,NA,dream-sequence,"Animation,Short",NA,USA,English,NA,NA,NA,5,Color,NA,7.3,1951,NA,2000,NA
Coyote Ugly ,"5.6 based on 90,408 user ratings",2000-08-04,David McNally,"Piper Perabo,Adam Garcia,John Goodman",27,379,155,1,"sexual-attraction,short-shorts,lift-skirt,girl-in-panties,songwriter","Comedy,Drama,Music,Romance",Rated PG-13 for sensuality,USA,English,4.5e+07,17319282(USA),60786269,100,Color,2.35:1,5.6,90408,PG-13,2000,1.35080597777778
Road Trip ,"6.5 based on 132,788 user ratings",2000-05-19,Todd Phillips,"Breckin Meyer,Seann William Scott,Amy Smart",55,302,103,1,"friend,road-trip,college,blonde,road-movie",Comedy,"Rated R for strong sexual content, crude humor, language and drug use",USA,English,15600000,15484004(USA),68525609,93,Color,1.85:1,6.5,132788,R,2000,4.39266724358974
