actor,gross,budget,num
Janeane Garofalo,292102,5e+06,1
Michael Showalter,292102,5e+06,1
Ice Cube,508245262,3.05e+08,8
Pam Grier,15742357,4.4e+07,2
Jean-Claude Van Damme,5247,11500000,1
Michael Rooker,7774730,15500000,1
Catherine Dent,0,0,0
Shawn Hatosy,667824,8e+06,2
Erik Palladino,0,0,0
Ryan Reynolds,1069551130,1.047e+09,16
Dash Mihok,0,0,0
Jordana Brewster,17216114,29500000,2
Marsha Thomason,109240800,1.4e+08,2
Cedric the Entertainer,159307398,1.43e+08,5
Kristen Wilson,112950721,7.2e+07,1
Michael Gross,0,0,0
Shawn Christian,0,0,0
Susan Chuang,0,0,0
Alix Koromzay,0,0,0
Bruno Campos,0,0,0
Will Estes,0,0,0
Lorenzo di Bonaventura,0,0,0
Joel Silver,0,0,0
Bill Pope,0,0,0
Wayne Allwine,0,0,0
Tony Anselmo,0,0,0
Jeff Bennett,0,0,0
Chelcie Ross,4050476,1.2e+07,2
Regina King,161766398,8.8e+07,3
Angie Redman,0,0,0
Nina Landey,0,0,0
Annette Miller,0,0,0
Mekhi Phifer,76462683,5.5e+07,3
Martin Sheen,17752565,7e+06,3
Judge Reinhold,0,0,0
Julia Sweeney,0,0,0
Joe Pichler,0,0,0
Luo Yan,35938,5e+06,1
Sau Sek,35938,5e+06,1
Alan Cumming,95891956,1.94e+08,3
Jennifer Jason Leigh,56072482,5.4e+07,2
Phoebe Cates,0,0,0
Scott Caan,13264986,3.5e+07,1
Steven Cozza,0,0,0
Tim Curran,0,0,0
James Dale,0,0,0
Jennifer Baxter,0,0,0
Dennis Hopper,0,0,0
Kip Pardue,33663035,8.1e+07,2
Til Schweiger,32616869,7.2e+07,1
Jay Chandrasekhar,61148756,28450000,4
Kevin Heffernan,61148756,28450000,4
André Vippolis,36976628,2400000,2
Debi Derryberry,80920948,3e+07,1
Rob Paulsen,80920948,3e+07,1
Megan Cavanagh,80920948,3e+07,1
Jessica Biel,393278788,5.57e+08,9
Catherine Keener,331294308,276500000,13
Brenda Blethyn,26455488,20500000,3
Troy Ruptash,8373862,5e+05,2
Jennifer Westfeldt,14045880,2e+06,2
Heather Juergensen,14931156,3700000,4
Tovah Feldshuh,14045880,2e+06,2
